node,degree,pagerank,pagerank_norm,kcore,membership
ENSG00000159199,465,0.000526708887655808,0.28299713135711,234,4
ENSG00000113327,167,0.000275233199389767,0.138437221634646,114,3
ENSG00000136531,161,0.000265319518696044,0.132738377360738,112,3
ENSG00000126777,137,0.00119402242785319,0.666599959100276,30,8
ENSG00000007168,738,0.000851002795690615,0.469416337095447,234,5
ENSG00000158941,627,0.000736998199481131,0.403881198292868,234,3
ENSG00000165152,301,0.000425390005849555,0.224754330599377,164,3
ENSG00000116752,458,0.0005258279951978,0.282490753444069,234,4
ENSG00000197170,497,0.000571828707694055,0.308934100280016,234,5
ENSG00000144635,505,0.000565093429652029,0.305062349525801,234,3
ENSG00000177383,276,0.000316276217354736,0.162030655308746,209,4
ENSG00000145335,198,0.000336181339628255,0.173473044426816,146,3
ENSG00000018189,508,0.000569016903222392,0.307317744427157,234,5
ENSG00000189241,428,0.000532490746101388,0.286320812229342,211,3
ENSG00000004779,380,0.000434017852829268,0.229714017911842,234,4
ENSG00000198836,528,0.000674082709946489,0.367714451717944,234,4
ENSG00000115944,604,0.000706836865585778,0.38654306220868,234,4
ENSG00000135250,636,0.000725409375919479,0.397219404067696,234,5
ENSG00000104852,66,0.00081549200332115,0.44900308373287,26,9
ENSG00000126088,447,0.000560528545837003,0.302438242214498,232,4
ENSG00000136521,523,0.000575851945381519,0.31124684423114,234,4
ENSG00000087448,675,0.000805561355843352,0.443294486163162,234,5
ENSG00000128463,477,0.000614691829648637,0.333573814293334,234,4
ENSG00000055070,86,0.000776321398139747,0.426485999923132,30,8
ENSG00000277791,335,0.000414205985843398,0.218325236265956,209,4
ENSG00000110107,454,0.000530386057358602,0.285110939351574,234,3
ENSG00000101079,669,0.00079975675060509,0.439957729377631,234,3
ENSG00000225465,268,0.000360549061343785,0.187480743046225,164,3
ENSG00000160014,289,0.000352688332538896,0.182962030902626,192,3
ENSG00000117395,474,0.000546008305937761,0.294091333678504,234,4
ENSG00000135624,633,0.000790701872439497,0.434752564698725,234,4
ENSG00000104490,142,0.000283797628063541,0.143360453158305,94,3
